cd_cliente,nome,cpf,sexo,dt_nascimento
1,MARISA MELO OLIVEIRA,54367845687,F,2000-09-06
2,MURILO CARVALHO CARDOSO,34563456566,M,1989-06-26
3,VINICIUS ROCHA RODRIGUES,83946466633,M,1990-01-25
4,CAROLINA ROCHA GOMES,09837746366,F,1996-04-21
5,ALINE SANTOS CASTRO,99934377292,F,1962-07-04
6,LEILA CORREIA CAVALCANTI,92774666223,F,2001-07-12
7,SOPHIA CORREIA SANTOS,91923847343,F,1956-01-29
8,JOÃO FARIAS COSTA,65463299339,M,1985-09-01
9,RAFAEL DIAS SOUZA,22245366333,M,1966-02-13
10,JORGE LUIZ DA SILVA,99988878776,M,2023-01-01
11,MURILO FAVA,71204361755,M,1966-01-07
12,STEPHANY CAMPOS SILVA,71959663437,F,1993-07-12
13,LUIZ MIGUEL MARTINS,84697684281,M,1943-05-20
14,OLIVIA RAMOS,26406682646,M,1972-04-16
15,LUIGI CASTRO,12597881115,F,1972-07-30
16,ISABELLA DA ROSA,49571001481,M,1989-06-26
17,DAVI LUCCA FARIAS,81480399412,F,1952-03-23
18,CARLOS EDUARDO ALMEIDA,73716641664,F,1978-10-12
19,ESTHER MOURA,"6597168035 ",F,1951-05-26
20,ANA LUIZA DAS NEVES,73870339846,F,1976-10-17
21,ALANA DA MATA,60390048792,F,1944-11-02
22,EMANUEL DA LUZ,71425006407,M,1978-03-13
23,SR. CALEBE DA CRUZ,68079907020,M,2004-07-15
24,LUCAS CORREIA,10043341555,F,1987-05-06
25,VINICIUS MARTINS,23663627584,F,1971-05-06
26,SR. DAVI LUCAS ALVES,29169046733,M,1943-10-11
27,LAÍS SILVEIRA,71871012136,M,1953-11-05
28,VITÓRIA GONÇALVES,89647905502,F,1977-02-07
29,ISIS DA MATA,36617381017,M,1993-09-30
30,MURILO FERNANDES,47167065144,F,2005-09-22
31,DR. RODRIGO DUARTE,24773774983,M,1946-09-30
32,AMANDA LOPES,95312644103,F,1956-03-09
33,JÚLIA MENDES,89139093352,F,1992-07-16
34,ANA LÍVIA MOURA,36816814559,F,1985-08-23
35,EVELYN LIMA,56150373153,F,1943-10-30
36,MARIA ALICE CALDEIRA,18828252710,F,1993-06-07
37,JOÃO GUILHERME PINTO,36410326744,M,1982-04-28
38,CECÍLIA DA LUZ,58219914139,M,1969-02-16
39,LÍVIA MONTEIRO,95225138589,F,1967-08-09
40,LUIZ HENRIQUE FOGAÇA,50166969041,F,2001-03-16
41,MARCOS VINICIUS NOVAES,"5670734528 ",M,1997-12-24
42,LORENZO RODRIGUES,17849395252,F,1996-01-28
43,RENAN CARDOSO,57857009624,M,1962-05-26
44,ISAAC AZEVEDO,25873569948,F,2002-02-06
45,DR. THIAGO RODRIGUES,69862285681,F,1965-07-06
46,EMANUEL PORTO,"4397406575 ",M,1982-11-14
47,ANA JÚLIA DA ROSA,59997676730,M,1992-11-01
48,BERNARDO MOURA,25339156012,M,1953-10-09
49,MARCELA CAVALCANTI,73249408531,M,1965-11-07
50,PEDRO HENRIQUE CASTRO,24202309209,F,1975-05-19
51,ANA SOPHIA ARAGÃO,60759634639,M,1974-11-24
52,LÍVIA RAMOS,46862514630,F,1983-07-20
53,SRTA. CAMILA MARTINS,96578317466,M,1997-04-04
54,GUILHERME MOREIRA,11414833310,F,1992-02-17
55,ANA CLARA SILVA,36132826396,F,1965-11-15
56,OTÁVIO PEREIRA,"3722001512 ",M,2005-10-09
57,BENJAMIN FARIAS,43105179644,M,1968-09-03
58,JULIANA PORTO,77676968350,M,1961-12-24
59,LUIZ FELIPE LIMA,67366511552,M,1949-04-13
60,CECÍLIA FOGAÇA,34924339600,M,1948-05-11
61,MARIA CLARA TEIXEIRA,37047026074,F,1956-10-04
62,ESTHER PIRES,36258773876,M,1958-07-29
63,DR. FERNANDO SILVA,50404834876,M,2005-07-11
64,GUILHERME CORREIA,29590724797,F,2000-05-03
65,BENÍCIO CARDOSO,46493955787,M,1996-04-07
66,RAQUEL REZENDE,30239002249,M,1943-07-08
67,DRA. ANA SOPHIA BARROS,70535530377,F,1988-03-30
68,DR. MURILO ARAGÃO,63923396540,M,2003-01-17
