cd_cliente,cd_municipio,ds_endereco,nr_endereco,bairro
1,1100015,ESTAÇÃO VIANA,2710,JARDIM FELICIDADE
2,1100023,RECANTO GOMES,3347,VILA PARIS
3,1100031,VILA NASCIMENTO,4132,VILA DA ÁRIA
4,1100049,LAGOA CALDEIRA,3670,MARIQUINHAS
5,1100056,JARDIM SOPHIE DA CRUZ,4522,CONJUNTO MINAS CAIXA
6,1100064,LAGOA MAYSA MENDES,1680,VILA TRINTA E UM DE MARÇO
7,1100072,LADEIRA DE ARAÚJO,4146,MARÇOLA
8,1100080,LADEIRA MOREIRA,4127,PLANALTO
9,1100098,VIADUTO CAMILA DA PAZ,3792,VILA SUZANA PRIMEIRA SEÇÃO
10,1100106,MORRO DE CARDOSO,361,VILA SANTO ANTÔNIO
11,1100114,TRECHO DE VIANA,1914,VILA CLORIS
12,1100122,AVENIDA CAUÊ ARAGÃO,289,MARMITEIROS
13,1100130,LADEIRA DE FARIAS,3108,SANTO AGOSTINHO
14,1100148,ESTAÇÃO FARIAS,1904,CIDADE JARDIM
15,1100155,LOTEAMENTO JOÃO GUILHERME DA ROCHA,2758,NOSSA SENHORA DE FÁTIMA
16,1100189,TREVO ANA CLARA NOVAES,4155,VILA TRINTA E UM DE MARÇO
17,1100205,VIELA DA CRUZ,185,PRIMEIRO DE MAIO
18,1100254,SETOR DA MOTA,69,VILA SUZANA SEGUNDA SEÇÃO
19,1100262,FAZENDA PEDRO MIGUEL SALES,376,BARREIRO
20,1100288,LAGO CORREIA,3827,MARIQUINHAS
21,1100296,TRAVESSA FARIAS,1664,MILIONARIO
22,1100304,PRAÇA DE DIAS,86,PANTANAL
23,1100320,CAMPO VINICIUS BARROS,3432,IPE
24,1100338,SETOR AZEVEDO,1258,MANTIQUEIRA
25,1100346,JARDIM BENJAMIN AZEVEDO,2617,HORTO FLORESTAL
26,1100379,SÍTIO DE RAMOS,3902,VILA MADRE GERTRUDES 4ª SEÇÃO
27,1100403,LADEIRA DE RODRIGUES,1827,SPORT CLUB
28,1100452,LAGOA CORREIA,2249,AEROPORTO
29,1100502,LAGOA GONÇALVES,1001,SANTO ANDRÉ
30,1100601,TREVO DA ROSA,3945,SÃO LUIZ
31,1100700,FAZENDA DE DA CRUZ,1558,TREVO
32,1100809,CAMPO RIBEIRO,4698,CANDELARIA
33,1100908,ESTAÇÃO GONÇALVES,3810,TREVO
34,1100924,LOTEAMENTO MATHEUS DA CONCEIÇÃO,1817,RIBEIRO DE ABREU
35,1100940,PASSARELA ALEXANDRE DA MATA,3831,ITAIPU
36,1101005,PRAÇA EMANUELLY DUARTE,2735,VILA JARDIM SÃO JOSÉ
37,1101104,AVENIDA FRANCISCO CALDEIRA,4945,CONCÓRDIA
38,1101203,MORRO RODRIGUES,2862,CONJUNTO JARDIM FILADÉLFIA
39,1101302,VIELA PEDRO MELO,930,CONJUNTO SÃO FRANCISCO DE ASSIS
40,1101401,PARQUE LUIZ FERNANDO CARVALHO,1281,CONJUNTO FLORAMAR
41,1101435,LAGOA MENDES,2968,MADRE GERTRUDES
42,1101450,VIADUTO FREITAS,1434,SÃO JORGE 1ª SEÇÃO
43,1101468,ESTAÇÃO DE COSTELA,2492,NOVA FLORESTA
44,1101476,COLÔNIA ISABEL BARROS,1643,TUPI B
45,1101484,ESTAÇÃO LOPES,3518,ATILA DE PAIVA
46,1101492,TRECHO DE DA MOTA,64,MARIQUINHAS
47,1101500,AEROPORTO COSTELA,2632,JONAS VEIGA
48,1101559,PARQUE FREITAS,4955,MIRANTE
49,1101609,ESTRADA MARCOS VINICIUS SILVA,1360,ARAGUAIA
50,1101708,PRAÇA ARAÚJO,3567,VILA CEMIG
51,1101757,COLÔNIA ARAÚJO,4856,NOVO SÃO LUCAS
52,1101807,LAGO DE RAMOS,4454,JARDIM LEBLON
53,1200013,TRAVESSA BRUNO BARBOSA,1319,CANAA
54,1200054,RECANTO DE MOREIRA,2815,VILA BARRAGEM SANTA LÚCIA
55,1200104,RESIDENCIAL DE DA MATA,3662,NOVA CINTRA
56,1200138,RECANTO DE ARAÚJO,595,SAUDADE
57,1200179,PASSARELA DE OLIVEIRA,458,SÃO CRISTÓVÃO
58,1200203,VIA ARAGÃO,923,MANGABEIRAS
59,1200252,ESPLANADA CASTRO,239,VILA AEROPORTO
60,1200302,SETOR BENÍCIO DA CUNHA,694,BOA ESPERANÇA
61,1200328,VILA DE DA LUZ,392,ACAIACA
62,1200336,TRECHO MOREIRA,2493,NOVA ESPERANÇA
63,1200344,VIADUTO LORENZO DA MOTA,3734,NOVO SANTA CECILIA
64,1200351,SETOR JOÃO BARROS,899,MARIETA 3ª SEÇÃO
65,1200385,TREVO SOUZA,4853,VILA SÃO DIMAS
66,1200393,ESPLANADA DE RODRIGUES,4195,MARIETA 1ª SEÇÃO
67,1200401,ESPLANADA LIMA,406,ACABA MUNDO
68,1200427,SETOR CARLOS EDUARDO FARIAS,4094,VERA CRUZ
69,1200435,TRAVESSA JOÃO LUCAS PORTO,3907,CAETANO FURQUIM
70,1200450,AVENIDA SOFIA CAVALCANTI,4967,TAQUARIL
71,1200500,FAVELA ALEXANDRE MONTEIRO,1064,BARÃO HOMEM DE MELO 1ª SEÇÃO
72,1200609,COLÔNIA DA MATA,4648,VILA JARDIM SÃO JOSÉ
73,1200708,LARGO DE ARAGÃO,1957,MONTE SÃO JOSÉ
74,1200807,DISTRITO PINTO,330,SANTA INÊS
75,1300029,ESTRADA DA ROSA,2246,MARIA VIRGÍNIA
76,1300060,CAMPO SOUZA,4718,VILA JARDIM LEBLON
77,1300086,VILA DE RIBEIRO,1767,VILA ATILA DE PAIVA
78,1300102,PÁTIO MONTEIRO,3957,SANTA ISABEL
79,1300144,TRECHO EDUARDA PEIXOTO,1464,PINDORAMA
80,1300201,PASSARELA COSTA,4568,POUSADA SANTO ANTONIO
81,1300300,VILA ALEXIA ALMEIDA,3382,VILA JARDIM LEBLON
82,1300409,LOTEAMENTO DANIEL RAMOS,3083,VILA SÃO PAULO
83,1300508,SETOR DE SOUZA,2536,BELMONTE
84,1300607,CAMPO COSTA,534,BIQUINHAS
85,1300631,RODOVIA DIEGO PEREIRA,2772,SÃO PAULO
86,1300680,CHÁCARA GUILHERME PORTO,3042,VILA DA LUZ
87,1300706,CONDOMÍNIO DE SOUZA,2848,TEIXEIRA DIAS
88,1300805,FAVELA DIAS,2040,NOVO OURO PRETO
89,1300839,ALAMEDA DE CALDEIRA,3133,NOVO SANTA CECILIA
90,1300904,VALE DE RODRIGUES,199,VILA SÃO GABRIEL
91,1301001,QUADRA GONÇALVES,1697,ALTO DOS PINHEIROS
92,1301100,VALE JOÃO PEDRO COSTA,3050,GRAJAÚ
93,1301159,NÚCLEO HEITOR NOGUEIRA,2063,CARMO
94,1301209,PASSARELA LARA CAVALCANTI,1710,TRES MARIAS
95,1301308,LAGOA DE CALDEIRA,3314,OURO MINAS
96,1301407,VILA ARAÚJO,32,VILA NOVA CACHOEIRINHA 2ª SEÇÃO
97,1301506,RUA DE SANTOS,387,CASA BRANCA
98,1301605,LOTEAMENTO JOÃO MIGUEL CAVALCANTI,4645,VILA NOVA
99,1301654,PRAÇA DAVI LUCCA SILVEIRA,1614,CUSTODINHA
100,1301704,FAVELA DA LUZ,2814,GUARANI
101,1301803,PARQUE CARVALHO,2938,AARÃO REIS
102,1301852,FEIRA VICENTE NUNES,1695,VILA SUZANA SEGUNDA SEÇÃO
103,1301902,ESTRADA MOURA,3444,MARIETA 2ª SEÇÃO
104,1301951,LADEIRA MARTINS,2716,VILA SÃO FRANCISCO
105,1302009,RESIDENCIAL LUIZ HENRIQUE FOGAÇA,2188,ALTO CAIÇARAS
106,1302108,RODOVIA DE OLIVEIRA,2505,SANTA TEREZA
107,1302207,FAVELA DE DA LUZ,4638,FAZENDINHA
108,1302306,QUADRA FERREIRA,1806,VILA SATÉLITE
109,1302405,RODOVIA CALDEIRA,1136,DONA CLARA
110,1302504,VIELA SABRINA GONÇALVES,1854,VILA REAL 1ª SEÇÃO
111,1302553,RUA DE CARVALHO,3916,SANTA CRUZ
112,1302603,VIELA DE MORAES,3807,SANTA RITA DE CÁSSIA
113,1302702,LAGOA DA ROSA,1057,TEIXEIRA DIAS
114,1302801,RECANTO DE GONÇALVES,1320,ITATIAIA
115,1302900,ESPLANADA DE AZEVEDO,4152,CIDADE JARDIM
116,1303007,ALAMEDA DE NUNES,4606,VILA SÃO DIMAS
117,1303106,VIA LUNA FERREIRA,3619,MARMITEIROS
118,1303205,VIADUTO THOMAS VIEIRA,4762,CAIÇARAS
119,1303304,LADEIRA DE PIRES,470,ÁPIA
120,1303403,LARGO ALVES,2831,MONTE AZUL
121,1303502,VIADUTO MARIA CECÍLIA DA LUZ,1231,CIDADE JARDIM TAQUARIL
122,1303536,VIELA NINA DUARTE,2206,CAIÇARAS
123,1303569,RESIDENCIAL BARROS,3457,CRUZEIRO
124,1303601,LAGOA DE FARIAS,2592,GARÇAS
125,1303700,VIADUTO PIRES,3879,BOA UNIÃO 2ª SEÇÃO
126,1303809,ALAMEDA CARDOSO,614,VILA SÃO GABRIEL JACUI
127,1303908,PRAIA JOÃO BARROS,4680,LEONINA
128,1303957,JARDIM ALMEIDA,983,BRASIL INDUSTRIAL
129,1304005,TRAVESSA DE DA ROSA,4543,JARAGUÁ
130,1304062,AEROPORTO DA ROCHA,3197,MARAVILHA
131,1304104,PARQUE ALÍCIA ARAGÃO,4231,SANTA CECILIA
132,1304203,CAMPO DE AZEVEDO,3204,VILA BANDEIRANTES
133,1304237,ALAMEDA DE TEIXEIRA,329,SÃO BENEDITO
134,1304260,CAMPO ARAÚJO,4076,VILA JARDIM MONTANHES
135,1304302,ALAMEDA LUIZ HENRIQUE DA LUZ,1663,VILA PUC
136,1304401,SÍTIO ANA LAURA BARBOSA,2533,CALIFÓRNIA
137,1400027,VEREDA DE PIRES,1583,BRASIL INDUSTRIAL
138,1400050,DISTRITO PIETRO PIRES,720,VILA NOVA CACHOEIRINHA 1ª SEÇÃO
139,1400100,PÁTIO SANTOS,2222,NOVO OURO PRETO
140,1400159,LARGO DE FERREIRA,4451,JARDIM AMÉRICA
141,1400175,AEROPORTO ALEXIA CAVALCANTI,216,BOA UNIÃO 1ª SEÇÃO
142,1400209,ESPLANADA STELLA CARVALHO,3084,ARAGUAIA
143,1400233,PRAÇA ANA BEATRIZ GONÇALVES,664,VILA MADRE GERTRUDES 1ª SEÇÃO
144,1400282,LOTEAMENTO FERNANDO DA ROCHA,3856,SOLAR DO BARREIRO
145,1400308,COLÔNIA LIMA,1186,FUNCIONÁRIOS
146,1400407,CHÁCARA DE BARBOSA,2964,LORENA
147,1400456,RUA DE NOVAES,1747,NOVA VISTA
148,1400472,LARGO DE CAVALCANTI,4323,VILA BATIK
149,1400506,VEREDA MENDES,4047,ALTO BARROCA
150,1400605,VILA BARBOSA,3602,COMITECO
151,1400704,AVENIDA DE MARTINS,3647,CASTELO
152,1500107,PRAIA RODRIGUES,4710,VILA UNIÃO
153,1500131,LAGOA DIOGO DA CRUZ,4114,VILA CEMIG
154,1500206,PASSARELA ALVES,2698,DOM SILVERIO
155,1500305,JARDIM SOUZA,216,ÁLVARO CAMARGOS
156,1500347,CHÁCARA MARIA CECÍLIA DA CRUZ,3147,CONJUNTO FLORAMAR
157,1500404,CONDOMÍNIO MARIA CLARA FERREIRA,322,CONJUNTO JATOBA
158,1500503,RESIDENCIAL CAROLINE OLIVEIRA,3923,CUSTODINHA
159,1500602,PRAIA CUNHA,4615,UNIDAS
160,1500701,FAZENDA FERREIRA,3171,POUSADA SANTO ANTONIO
161,1500800,DISTRITO NOVAES,2101,RIBEIRO DE ABREU
162,1500859,LAGOA DE MARTINS,1725,VILA ANTENA
163,1500909,DISTRITO DE CALDEIRA,2636,SÃO TOMAZ
164,1500958,LAGO DE FOGAÇA,1276,NOVO AARÃO REIS
165,1501006,TRAVESSA LARISSA MELO,2262,MARMITEIROS
166,1501105,RECANTO DE DA COSTA,1269,VILA BETÂNIA
167,1501204,SÍTIO JESUS,1323,CONJUNTO NOVO DOM BOSCO
168,1501253,PRAIA EMANUELLY SILVA,200,FLAVIO MARQUES LISBOA
169,1501303,CHÁCARA BRENDA BARROS,503,ITAPOA
170,1501402,MORRO DE COSTA,66,PANTANAL
171,1501451,RODOVIA HELENA DA ROSA,4515,BANDEIRANTES
172,1501501,LARGO DE DA CUNHA,2011,SANTA TEREZA
173,1501576,ESTAÇÃO MARIA MORAES,3724,VILA ECOLÓGICA
174,1501600,VIELA PINTO,1132,CRUZEIRO
175,1501709,SETOR LIMA,3387,AEROPORTO
176,1501725,JARDIM MATHEUS RODRIGUES,2475,BERNADETE
177,1501758,RESIDENCIAL LUANA CAVALCANTI,3087,CRUZEIRO
178,1501782,LADEIRA PIETRO NUNES,2434,ALTO BARROCA
179,1501808,COLÔNIA MAITÊ FARIAS,3382,VILA TRINTA E UM DE MARÇO
180,1501907,AEROPORTO JOAQUIM CARDOSO,55,VILA SUMARÉ
181,1501956,FEIRA SOPHIE COSTELA,2489,VILA REAL 2ª SEÇÃO
182,1502004,ESPLANADA ARTHUR DA ROCHA,4192,JARDIM LEBLON
183,1502103,PRAIA MOURA,1590,VILA INDEPENDENCIA 3ª SEÇÃO
184,1502152,JARDIM DE PIRES,2855,MONTE SÃO JOSÉ
185,1502202,JARDIM THALES FREITAS,893,SÃO VICENTE
186,1502301,FAVELA TEIXEIRA,658,VILA NOVA
187,1502400,LARGO ANA JÚLIA AZEVEDO,537,PANTANAL
188,1502509,RUA DE VIANA,1795,OLARIA
189,1502608,CAMPO PIETRO ALVES,4729,DONA CLARA
190,1502707,CONDOMÍNIO DE ARAGÃO,3040,VILA NOVA GAMELEIRA 3ª SEÇÃO
191,1502756,VEREDA DA MATA,608,PETROPOLIS
192,1502764,VALE DE TEIXEIRA,4532,NOVO SÃO LUCAS
193,1502772,LAGO PINTO,3380,VILA MADRE GERTRUDES 4ª SEÇÃO
194,1502806,COLÔNIA DE GOMES,4247,ZILAH SPOSITO
195,1502855,FAVELA OTÁVIO NASCIMENTO,3150,UNIÃO
196,1502905,RECANTO PIRES,4619,DIAMANTE
197,1502939,CONJUNTO DE SANTOS,2850,MARIA GORETTI
198,1502954,ÁREA DE FARIAS,3210,PIRATININGA
199,1503002,TRAVESSA BRENO MOREIRA,4712,VILA NOVO SÃO LUCAS
200,1503044,ÁREA AZEVEDO,3917,PROVIDENCIA
201,1503077,PÁTIO OTÁVIO MARTINS,4486,SANTA BRANCA
202,1503093,TRAVESSA CUNHA,1788,CONCÓRDIA
203,1503101,ESPLANADA DE ROCHA,382,CENACULO
204,1503200,RESIDENCIAL DA COSTA,2543,SANTA TEREZA
205,1503309,VILA MARIA SOPHIA ROCHA,3909,NOVA CINTRA
206,1503408,SETOR PEIXOTO,3397,RIBEIRO DE ABREU
207,1503457,TREVO LORENZO SILVEIRA,4837,EUROPA
208,1503507,VIELA HELENA RODRIGUES,837,JARDIM ALVORADA
209,1503606,MORRO DE LOPES,248,TREVO
210,1503705,VEREDA DA ROCHA,4538,NOVA VISTA
211,1503754,AVENIDA MARIA JULIA CARDOSO,400,CANADÁ
212,1503804,TREVO NOVAES,3179,CAETANO FURQUIM
213,1503903,JARDIM MOURA,2117,MARAVILHA
214,1504000,PRAÇA ENRICO DAS NEVES,4092,SÃO BERNARDO
215,1504059,CAMPO DE CASTRO,1713,JARDIM GUANABARA
216,1504109,FAVELA DE BARBOSA,534,PALMARES
217,1504208,LADEIRA MATHEUS DA COSTA,4824,MANTIQUEIRA
218,1504307,TREVO DE CALDEIRA,3862,SÃO BENTO
219,1504406,VIADUTO BENJAMIN AZEVEDO,2057,NOSSA SENHORA DA APARECIDA
220,1504422,VIADUTO DE FERNANDES,184,CAMPO ALEGRE
221,1504455,VILA DE GOMES,871,LARANJEIRAS
222,1504505,JARDIM PORTO,1891,HAVAÍ
223,1504604,PASSARELA COSTELA,2577,DOM SILVERIO
224,1504703,TREVO PEDRO LUCAS DA COSTA,1894,MARÇOLA
225,1504752,ESTAÇÃO LAURA MOURA,3536,BELVEDERE
226,1504802,FEIRA DUARTE,127,NOVA CACHOEIRINHA
227,1504901,ESTRADA SOPHIA COSTELA,1704,OESTE
228,1504950,ESTRADA DE PORTO,1962,BURITIS
229,1504976,LADEIRA FERNANDA MENDES,247,URCA
230,1505007,SETOR THEO DA ROSA,2290,UNIDAS
231,1505031,DISTRITO LEVI ARAGÃO,3416,SANTA TEREZINHA
232,1505064,ÁREA ESTHER CUNHA,537,PENHA
233,1505106,CONJUNTO SABRINA GONÇALVES,2089,MADRE GERTRUDES
234,1505205,FAVELA DE VIANA,4072,PINDURA SAIA
235,1505304,PRAIA DE CARDOSO,1829,VILA NOVA DOS MILIONARIOS
236,1505403,VIADUTO DE NASCIMENTO,1526,CACHOEIRINHA
237,1505437,FAZENDA DE CORREIA,933,VISTA ALEGRE
238,1505486,AVENIDA NOVAES,3719,DOM SILVERIO
239,1505494,TRAVESSA DE ARAGÃO,745,ARAGUAIA
240,1505502,VIADUTO DE COSTA,1361,CONJUNTO MINAS CAIXA
241,1505536,ESTAÇÃO CLARA DA CRUZ,4760,ARAGUAIA
242,1505551,RUA LUCAS MELO,1941,NOVA GRANADA
243,1505601,LAGOA THEO MOURA,4779,COPACABANA
244,1505635,PARQUE DE SANTOS,310,SANTA CRUZ
245,1505650,CONDOMÍNIO DA PAZ,3993,VILA PARAÍSO
246,1505700,DISTRITO JUAN CAVALCANTI,1888,SANTA CECILIA
247,1505809,VALE MORAES,1650,VILA SÃO RAFAEL
248,1505908,LARGO ROCHA,3619,VILA TRINTA E UM DE MARÇO
249,1506005,ESTRADA ARAÚJO,3759,VILA JARDIM SÃO JOSÉ
250,1506104,LARGO DE NOGUEIRA,4320,DELTA
251,1506112,AEROPORTO AZEVEDO,1063,BONFIM
252,1506138,CONDOMÍNIO HENRIQUE RODRIGUES,28,VILA OESTE
253,1506161,AVENIDA REZENDE,347,FLAMENGO
254,1506187,RESIDENCIAL PEDRO HENRIQUE DUARTE,2441,SANTA TEREZA
255,1506195,FAZENDA NUNES,4268,TUPI B
256,1506203,ESTRADA ALMEIDA,1634,NOVO DAS INDUSTRIAS
257,1506302,CHÁCARA FERREIRA,4109,SÃO CRISTÓVÃO
258,1506351,JARDIM GUILHERME MONTEIRO,145,DOM JOAQUIM
259,1506401,LARGO ANTÔNIO NOVAES,700,CORAÇÃO EUCARÍSTICO
260,1506500,VIA DA ROSA,3083,CONJUNTO MINAS CAIXA
261,1506559,COLÔNIA DE DA CONCEIÇÃO,4286,SION
262,1506583,LARGO CAMPOS,92,VILA INDEPENDENCIA 3ª SEÇÃO
263,1506609,NÚCLEO DE PINTO,3096,SERRA DO CURRAL
264,1506708,QUADRA LAÍS SILVA,647,ALTO BARROCA
265,1506807,PARQUE ALICE FOGAÇA,1249,VILA FORMOSA
266,1506906,LOTEAMENTO NUNES,4958,CRUZEIRO
267,1507003,DISTRITO ARAÚJO,3667,LAGOINHA
268,1507102,CHÁCARA LEONARDO FERREIRA,3692,SERRA VERDE
269,1507151,RODOVIA DE MOURA,3081,SAVASSI
270,1507201,SETOR LIMA,1703,SÃO GONÇALO
271,1507300,VEREDA MARTINS,1162,LAGOINHA
272,1507409,ALAMEDA SARAH MELO,4659,SOLAR DO BARREIRO
273,1507458,RECANTO DE FARIAS,2806,BOA VIAGEM
274,1507466,ALAMEDA DE ALMEIDA,4948,RIO BRANCO
275,1507474,CAMPO DE DA ROCHA,3432,VILA NOVA CACHOEIRINHA 2ª SEÇÃO
276,1507508,ESTRADA SILVA,4960,CORAÇÃO DE JESUS
277,1507607,QUADRA DE NOGUEIRA,860,VILA REAL 1ª SEÇÃO
278,1507706,FAZENDA DANIELA MOREIRA,4364,FREI LEOPOLDO
279,1507755,FAVELA RAFAEL FARIAS,1564,MONTE AZUL
280,1507805,FAZENDA RAUL LOPES,2188,LUXEMBURGO
281,1507904,VIA COSTELA,3006,SÃO SALVADOR
282,1507953,FAZENDA MARCELA ALMEIDA,3460,SANTA TEREZINHA
283,1507961,CHÁCARA OLIVEIRA,1200,CONJUNTO SERRA VERDE
284,1507979,LAGOA FREITAS,2462,BOA VIAGEM
285,1508001,ÁREA DIOGO VIANA,177,VILA PETROPOLIS
286,1508035,CONJUNTO DE CARDOSO,1077,VILA NOVA CACHOEIRINHA 2ª SEÇÃO
287,1508050,VIA ANA JÚLIA FERREIRA,3080,SÃO BENTO
288,1508084,VEREDA FERNANDES,1153,CONJUNTO TAQUARIL
289,1508100,CAMPO MILENA MENDES,2603,EMBAÚBAS
290,1508126,LADEIRA DE LIMA,1457,ATILA DE PAIVA
291,1508159,TRECHO DA ROSA,993,ALTO DAS ANTENAS
292,1508209,VILA ALMEIDA,4192,VILA NOVA CACHOEIRINHA 1ª SEÇÃO
293,1508308,PARQUE CAMILA BARROS,210,BARROCA
294,1508357,NÚCLEO DE COSTA,1665,BEIJA FLOR
295,1508407,CONDOMÍNIO DE RODRIGUES,1188,JOÃO PINHEIRO
296,1600055,RODOVIA ANTHONY LOPES,1118,VILA BETÂNIA
297,1600105,ESTRADA CARDOSO,3504,ACAIACA
298,1600154,CONDOMÍNIO VIANA,1579,POUSADA SANTO ANTONIO
299,1600204,PASSARELA DE DAS NEVES,4748,ENGENHO NOGUEIRA
300,1600212,FAVELA SILVEIRA,711,GUARATÃ
301,1600238,ESTRADA CARVALHO,1422,LETICIA
302,1600253,COLÔNIA DE GOMES,935,VILA SÃO PAULO
303,1600279,PRAIA DE CARDOSO,3512,ETELVINA CARNEIRO
304,1600303,LADEIRA DE AZEVEDO,435,SANTA SOFIA
305,1600402,LAGO MARTINS,4315,ITATIAIA
306,1600501,AVENIDA MOREIRA,293,PIRAJA
307,1600535,SETOR REZENDE,1245,ALTO VERA CRUZ
308,1600550,LAGOA DE FREITAS,2952,SÃO JOSÉ
309,1600600,QUADRA DE LIMA,821,CÔNEGO PINHEIRO 2ª SEÇÃO
310,1600709,FAVELA RAQUEL LOPES,2016,SÃO LUIZ
311,1600808,FAVELA LUNA ARAÚJO,3629,ITAPOA
312,1700251,MORRO LETÍCIA COSTA,1277,SANTA AMELIA
313,1700301,SÍTIO DE CORREIA,3451,VILA SANTA MONICA 1ª SEÇÃO
314,1700350,RESIDENCIAL DE CARVALHO,2500,VISTA DO SOL
315,1700400,AVENIDA FERNANDA CASTRO,387,MARMITEIROS
316,1700707,CONJUNTO PIRES,4438,INDAIÁ
317,1701002,PRAIA DE SANTOS,3465,HELIOPOLIS
318,1701051,MORRO NASCIMENTO,252,VILA SUMARÉ
319,1701101,QUADRA BENÍCIO VIANA,292,SANTA TEREZA
320,1701309,RECANTO DE ARAGÃO,2654,VILA SANTA MONICA 2ª SEÇÃO
321,1701903,JARDIM DA PAZ,3911,NOVA GAMELEIRA
322,1702000,SÍTIO DE VIEIRA,2835,BELA VITORIA
323,1702109,VIADUTO FREITAS,953,PINDORAMA
324,1702158,VILA VINICIUS FREITAS,724,LAJEDO
325,1702208,PRAIA DE FERREIRA,4225,PEDREIRA PADRO LOPES
326,1702307,PASSARELA ANA LAURA FERNANDES,4250,VITORIA DA CONQUISTA
327,1702406,SETOR JOÃO MIGUEL DA PAZ,1078,GUTIERREZ
328,1702554,PASSARELA MARCELA NOGUEIRA,2492,ESTRELA DO ORIENTE
