cd_sinistro,placa,dt_sinistro,local_sinistro,condutor
1,"UBM5337   ",2024-09-11 00:00:00.000,4317558,VICENTE
2,"CXK4218   ",2023-06-13 00:00:00.000,3303807,MARINA
3,"WOZ7113   ",2023-11-24 00:00:00.000,4302055,BRUNO
4,"DMU6272   ",2026-08-17 00:00:00.000,3548054,CAROLINE
5,"QWJ2410   ",2025-12-24 00:00:00.000,1502855,VITOR
6,"UTD6060   ",2026-03-05 00:00:00.000,3170305,JOÃO
7,"SCS8313   ",2025-09-07 00:00:00.000,3515400,BENJAMIN
8,"IYU0603   ",2024-06-02 00:00:00.000,2516201,DAVI
9,"DLO7218   ",2024-06-17 00:00:00.000,3532702,NICOLE
10,"GSP5419   ",2025-05-18 00:00:00.000,3505500,BIANCA
11,"EPS0060   ",2023-10-30 00:00:00.000,3109709,FERNANDA
12,"YGM1711   ",2023-10-19 00:00:00.000,2911006,ENRICO
13,"DRT5907   ",2024-10-07 00:00:00.000,2405207,ALEXIA
14,"GEC9654   ",2025-07-29 00:00:00.000,2930204,OLIVIA
15,"GUI8504   ",2024-08-15 00:00:00.000,2803906,ALEXIA
16,"XER5018   ",2023-07-19 00:00:00.000,3523602,ANTHONY
17,"LSS0457   ",2024-06-07 00:00:00.000,2504157,BIANCA
18,"UUD5003   ",2026-07-02 00:00:00.000,5204102,MARIA
19,"MMT8286   ",2025-10-17 00:00:00.000,3517604,STELLA
20,"DUM3981   ",2026-08-27 00:00:00.000,2932606,LEONARDO
21,"FNN0740   ",2025-07-19 00:00:00.000,3521150,SOPHIE
22,"ELU4678   ",2025-12-17 00:00:00.000,2921203,VITOR
23,"KGQ2758   ",2024-11-18 00:00:00.000,4203105,PEDRO
24,"TTP1438   ",2026-12-17 00:00:00.000,3133907,MAYSA
25,"ECJ6632   ",2026-08-06 00:00:00.000,5205109,BRUNO
26,"IEW4581   ",2025-09-24 00:00:00.000,4120705,MARIA
27,"VZT3791   ",2023-04-16 00:00:00.000,3125101,ISIS
28,"BFK3939   ",2023-03-28 00:00:00.000,4319158,BENJAMIN
29,"GQP3155   ",2024-08-18 00:00:00.000,2707701,VITÓRIA
30,"BYZ2932   ",2026-08-19 00:00:00.000,3555604,JOAQUIM
31,"WIQ5904   ",2025-10-24 00:00:00.000,2933158,MARIA
32,"RMG7807   ",2024-08-08 00:00:00.000,4101101,ENZO
33,"TFG1410   ",2024-05-15 00:00:00.000,2111706,THEO
34,"ECI6651   ",2024-06-20 00:00:00.000,3152808,HENRIQUE
35,"REK3980   ",2024-10-19 00:00:00.000,2927002,ISABELLY
36,"WCD6484   ",2023-10-11 00:00:00.000,3548609,BRUNO
37,"SMJ4075   ",2026-10-11 00:00:00.000,2615607,JUAN
38,"DBB3500   ",2025-06-25 00:00:00.000,3106200,MARCELO
39,"MRJ8815   ",2023-05-29 00:00:00.000,2708808,GABRIELA
40,"AKG5293   ",2025-10-05 00:00:00.000,4113205,VALENTINA
41,"WOZ8350   ",2025-05-13 00:00:00.000,2611408,RAUL
42,"UTP7955   ",2026-11-03 00:00:00.000,4101903,GABRIELA
43,"CGR6353   ",2026-08-20 00:00:00.000,4322186,LAURA
44,"BYW1452   ",2023-06-02 00:00:00.000,3304003,JOÃO
45,"VPR7533   ",2024-09-08 00:00:00.000,3164100,JOÃO
46,"HVL3760   ",2024-12-07 00:00:00.000,4305959,ELOAH
47,"RKE8165   ",2024-11-27 00:00:00.000,3111309,GIOVANNA
48,"VTF4385   ",2026-02-08 00:00:00.000,4212908,EMANUELLA
49,"QMR9261   ",2025-08-04 00:00:00.000,4121901,JOÃO
50,"CTO5954   ",2025-09-12 00:00:00.000,2924652,LÍVIA
51,"IQE6569   ",2024-12-14 00:00:00.000,3127339,LUCCA
52,"HAM8392   ",2024-05-17 00:00:00.000,4314787,GABRIELLY
53,"BGD0272   ",2026-08-27 00:00:00.000,3525706,ANA
54,"LTQ1442   ",2025-08-04 00:00:00.000,4124905,ESTHER
55,"SMS5461   ",2026-11-27 00:00:00.000,2904704,RAQUEL
56,"WVE6621   ",2026-05-31 00:00:00.000,3109907,CLARA
57,"ETG6067   ",2023-10-26 00:00:00.000,3508108,HELENA
58,"WBK9768   ",2025-03-30 00:00:00.000,2308609,VITOR
59,"XUK5585   ",2024-11-08 00:00:00.000,5214606,STELLA
60,"VPO2592   ",2023-06-12 00:00:00.000,1720101,PAULO
61,"ZYO2258   ",2026-08-26 00:00:00.000,2509396,ENRICO
62,"SHP0067   ",2023-07-09 00:00:00.000,3533304,LÍVIA
63,"SRM8484   ",2024-06-30 00:00:00.000,3501152,DIEGO
64,"ZEJ8689   ",2025-11-24 00:00:00.000,3202207,BIANCA
65,"ALZ0235   ",2026-12-04 00:00:00.000,2300606,MARCELA
66,"NUD2725   ",2026-11-10 00:00:00.000,3539707,ANDRÉ
67,"RKO0201   ",2023-10-01 00:00:00.000,3114204,VITÓRIA
68,"YHI7758   ",2026-10-31 00:00:00.000,3169059,FERNANDA
69,"XVK8716   ",2024-09-05 00:00:00.000,3555604,LUIZ
70,"SNM2250   ",2023-12-12 00:00:00.000,4104451,ALICE
71,"BKA7055   ",2024-08-13 00:00:00.000,3513900,MAYSA
72,"AZN8482   ",2024-12-05 00:00:00.000,3541406,MARCELA
73,"GQW6089   ",2023-07-02 00:00:00.000,3102902,JOÃO
74,"NUR6682   ",2023-07-28 00:00:00.000,4119806,OLIVIA
75,"GDN8703   ",2025-06-12 00:00:00.000,3144672,ENZO
76,"SAF2548   ",2024-01-13 00:00:00.000,3527900,LUIZ
77,"ERR5673   ",2024-02-25 00:00:00.000,3117009,VITÓRIA
78,"MRW7338   ",2024-07-11 00:00:00.000,2707701,DAVI
79,"AAY2038   ",2026-05-16 00:00:00.000,4200051,NINA
80,"OYO1196   ",2023-11-07 00:00:00.000,3119955,VICENTE
81,"IDF5253   ",2026-04-21 00:00:00.000,4214201,HEITOR
82,"THP1756   ",2023-09-22 00:00:00.000,3505500,ARTHUR
83,"VPP5632   ",2024-04-12 00:00:00.000,5101803,PAULO
84,"WAE7398   ",2023-10-01 00:00:00.000,4320404,MARCELA
85,"VWC9355   ",2026-08-01 00:00:00.000,3129509,LEONARDO
86,"NZT1330   ",2024-01-29 00:00:00.000,2912103,BRUNA
87,"CXA7670   ",2024-01-30 00:00:00.000,2312205,VICENTE
88,"OCA3584   ",2025-11-14 00:00:00.000,3510203,BENJAMIN
89,"XGS1047   ",2025-06-16 00:00:00.000,2109452,VITÓRIA
90,"KGP5969   ",2023-10-05 00:00:00.000,3500303,YURI
91,"WJO4632   ",2023-06-16 00:00:00.000,2410504,JÚLIA
