cd_cliente,nr_telefone
1,4641423148
2,1253521479
3,4637634573
4,8391053588
5,649382680
6,9942428008
7,6991386052
8,7998201945
9,1690794239
10,8919057727
11,4313626734
12,9895667545
13,271189484
14,8436927784
15,8182888049
16,4888725664
17,1285048844
18,9762490226
19,1284828763
20,4472129512
21,1487856516
22,716418607
23,192962567
24,16885124
25,9856212534
26,5571135552
27,4680790747
28,8950276803
29,5345129082
30,9430346477
31,737112584
32,6265293589
33,9882640938
34,5393020601
35,9510046714
36,9272133758
37,6140657671
38,1984614179
39,428400379
40,6255642498
41,8961223011
42,4748897902
43,3824958554
44,9392354618
45,2794355193
46,9270820464
47,1178541587
48,7768100717
49,9578264526
50,4367711317
51,1447635082
52,5147976434
53,3850291919
54,6822839352
55,6469202552
56,5137524425
57,626521502
58,1750880381
59,1328338748
60,1761906703
61,1384927876
62,6546974402
63,7127687801
64,5494595129
65,4272450172
66,7542721740
67,2436034781
68,3244976057
69,2494283103
70,9497028967
71,448000514
72,614389989
73,8244851142
74,8737273444
75,8536105420
76,7735688821
77,9326085118
78,6395130487
79,8268985907
80,2414613315
81,4671252153
82,997160942
83,8740897978
84,4957891817
85,9226365484
86,7728473048
87,2182703157
88,6346636569
89,2486910648
90,1944555658
91,9936502788
92,8582395625
93,6112057273
94,8588712836
95,6238051589
96,6865311269
97,1279227783
98,3122014256
99,611161993
100,9690000100
101,4126752183
102,8249574433
103,3814387680
104,9146247626
105,818451331
106,3135669871
107,6752681766
108,993550794
109,1829341739
110,7197288034
111,4841095423
112,1268454115
113,8621957083
114,8993762430
115,476468553
116,5466998595
117,6481867829
118,6322457191
119,755287568
120,7133163680
121,2421481094
122,888953852
123,9596591334
124,1316801528
125,6490295726
126,4898435624
127,5387478827
128,357895970
129,8719518722
130,6540937044
131,2750855837
132,5434429237
133,7178190369
134,4319064846
135,83175793
136,6891814382
137,5496581537
138,9493774464
139,8177905578
140,6883522795
141,8583081401
142,7190301168
143,8191446139
144,4284379014
145,6620067144
146,7150033438
147,6972757370
148,2272760354
149,5545659537
150,4222555950
151,6944090112
152,7112595955
153,6838480433
154,6486963487
155,612860590
156,3866340372
157,5338701987
158,2238287554
159,1233439653
160,9347396682
161,5340432460
162,3892679751
163,6945352040
164,8143067594
165,8236107447
166,6975071043
167,4840134947
168,611035719
169,8940119948
170,1919317627
171,9589325154
172,2482222724
173,9374871898
174,6833379385
175,3561886250
176,9817697213
177,3273822126
178,8869498604
179,1117435193
180,3715929688
181,9611777138
182,9686660210
183,9651644262
184,8845782675
185,3560972206
186,656441032
187,2186772801
188,3462441543
189,7189828133
190,7561461115
191,9175207035
192,9134509831
193,4269675557
194,1376150184
195,8413223065
196,856361274
197,1546116837
198,2195347150
199,1666386468
200,4540100323
201,2414912826
202,8995451353
203,1487179408
204,949668496
205,3569711711
206,9344647230
207,8931481033
208,6792825032
209,7145261806
210,4112911035
211,5165409057
212,8726187594
213,9712587988
214,2182106034
215,1165438822
216,3876417797
217,5588432241
218,1814775989
219,8936116555
220,7354411625
221,2126114922
222,3893078947
223,3269697366
224,4225701786
225,3119033873
226,8561753208
227,3775891443
228,7410535516
229,2462656857
230,8124454514
231,1492348670
232,5433189337
233,5160215586
234,273987870
235,453549580
236,1289496830
237,3168812120
238,1339519393
239,8879453624
240,7943749047
241,6629764973
242,3378155415
243,8992973739
244,7339216247
245,2451344316
246,3573590282
247,898376337
248,8233282116
249,9830525021
250,8860427342
251,4970887452
252,8885067769
253,6946128330
254,6878659912
255,288730560
256,1246461916
257,665105256
258,1412468750
259,545170124
260,9997216309
261,5428961931
262,8998414235
263,6921229419
264,6625686846
265,6168603413
266,1642224669
267,3596622459
268,4371805625
269,7586615540
270,173067543
271,1645311926
272,7374908354
273,7541733737
274,2727801515
275,2796405857
276,196470939
277,6438135420
278,6266369627
279,3365916824
280,6974681073
281,8851910019
282,7125800616
283,223360688
284,8151742649
285,9450206986
286,1345871801
287,3891485244
288,2256695563
289,4897318901
290,6890772313
291,9265699129
292,8191793546
293,3490428807
294,1913498274
295,3562677075
296,3584093521
297,8716841179
298,3775345262
299,4773807102
300,7392003429
301,5462499230
302,546175296
303,842178382
304,4547571502
305,7949561774
306,1165290241
307,833226939
308,2177676756
309,879975816
310,8396607309
311,8728573077
312,3439285358
313,9583297915
314,928042046
315,4488398436
316,452766386
317,418063703
318,176853063
319,8687872951
320,2469218116
321,1610936790
322,2482693419
323,8731518300
324,6560870989
325,9160816636
326,6121020740
327,319979212
328,8492811360
329,4122053874
330,9751416201
331,4848162787
332,33916096
333,1345023242
334,1811100383
335,9133153836
336,145827853
337,6353998465
338,8238466711
339,8662409297
340,7931601623
341,5448139782
342,7756916772
343,7778458141
344,2142311614
345,4362583245
346,6258880138
347,9334951716
348,8324911715
349,623790605
350,1888239676
351,6846395183
352,4518515999
353,5523826419
354,467460891
355,4688723059
356,994574306
357,952354736
358,9771824285
359,6876419397
360,1826053199
